Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
28693693,Israel: A Concise History of a Nation Reborn,Daniel Gordis,"Gordis, Daniel",,"=""0062368761""","=""9780062368768""",0,4.31,Ecco,ebook,560,2016,2016,,2022/09/03,to-read,to-read (#146),to-read,,,,0,0
6885191,Start-up Nation: The Story of Israel's Economic Miracle,Dan Senor,"Senor, Dan",Saul Singer,"=""044654146X""","=""9780446541466""",0,4.11,Twelve,Hardcover,304,2009,2009,,2020/05/08,to-read,to-read (#145),to-read,,,,0,0
92307,Being and Time,Martin Heidegger,"Heidegger, Martin",,"=""0060638508""","=""9780060638504""",0,4.05,Harper & Row (NYC/Evanston),Hardcover,589,1962,1927,,2022/08/24,to-read,to-read (#144),to-read,,,,0,0
5986375,"This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life",David Foster Wallace,"Wallace, David Foster",,"=""0316068225""","=""9780316068222""",0,4.48,"Little, Brown and Company",Hardcover,138,2009,2009,,2022/08/22,to-read,to-read (#143),to-read,,,,0,0
150472,The Fish Can Sing,Halldór Laxness,"Laxness, Halldór",Magnus Magnusson,"=""""","=""""",0,3.88,Harvill Press,Paperback,246,2002,1957,,2022/08/20,to-read,to-read (#142),to-read,,,,0,0
77287,Independent People,Halldór Laxness,"Laxness, Halldór",James Anderson Thompson,"=""0679767924""","=""9780679767923""",0,4.13,Vintage,Paperback,482,1997,1934,,2022/08/20,to-read,to-read (#141),to-read,,,,0,0
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Rufus Goodwin, Benjamin Martinez, W.K. Marriott, Denis Daly, Μαρία Κασωτάκη","=""0937832383""","=""9780937832387""",0,3.84,Dante University Press,Paperback,144,2014,1513,,2022/08/16,to-read,to-read (#140),to-read,,,,0,0
1317696,The Enchantress of Florence,Salman Rushdie,"Rushdie, Salman",,"=""0224061631""","=""9780224061636""",0,3.61,Cape,Hardcover,359,2008,2008,,2022/08/16,to-read,to-read (#139),to-read,,,,0,0
12781,The Satanic Verses,Salman Rushdie,"Rushdie, Salman",,"=""0312270828""","=""9780312270827""",0,3.71,Picador,Paperback,561,1997,1988,,2022/08/16,to-read,to-read (#138),to-read,,,,0,0
2333956,The Annotated Turing: A Guided Tour Through Alan Turing's Historic Paper on Computability and the Turing Machine,Charles Petzold,"Petzold, Charles",,"=""0470229055""","=""9780470229057""",0,4.27,Wiley,Paperback,372,2008,2008,,2022/08/07,to-read,to-read (#137),to-read,,,,0,0
26167786,Principles of Neurobiology,Liqun Luo,"Luo, Liqun",,"=""0815344929""","=""9780815344926""",0,4.16,Garland Science,Hardcover,696,2015,2015,,2022/08/07,to-read,to-read (#136),to-read,,,,0,0
940331,From Neuron to Brain: A Cellular and Molecular Approach to the Function of the Nervous System,John G. Nicholls,"Nicholls, John G.","Bruce G. Wallace, A. Robert Martin, Paul A. Fuchs","=""0878934391""","=""9780878934393""",0,4.00,Sinauer Associates Inc,Hardcover,679,2001,1976,,2022/08/07,to-read,to-read (#135),to-read,,,,0,0
56213215,Trading at the Speed of Light: How Ultrafast Algorithms Are Transforming Financial Markets,Donald MacKenzie,"MacKenzie, Donald",,"=""0691211388""","=""9780691211381""",0,4.19,Princeton University Press,Hardcover,304,2021,,,2022/08/02,to-read,to-read (#134),to-read,,,,0,0
51470423,Regression and Other Stories (Analytical Methods for Social Research),Andrew Gelman,"Gelman, Andrew","Jennifer Hill, Aki Vehtari","=""1107676517""","=""9781107676510""",0,4.27,Cambridge University Press,Paperback,552,2020,,,2022/07/21,to-read,to-read (#133),to-read,,,,0,0
2451440,Computational Methods of Feature Selection,Huan Liu,"Liu, Huan",Hiroshi Motoda,"=""1584888784""","=""9781584888789""",0,3.88,Chapman and Hall/CRC,Hardcover,440,2007,2007,,2022/06/29,to-read,to-read (#132),to-read,,,,0,0
22529226,Kaleidoscope City: A Year in Varanasi,Piers Moore Ede,"Ede, Piers Moore",,"=""1608198685""","=""9781608198689""",0,3.93,Bloomsbury USA,Hardcover,224,2015,2014,,2022/06/21,to-read,to-read (#131),to-read,,,,0,0
101438,Skunk Works: A Personal Memoir of My Years at Lockheed,Ben R. Rich,"Rich, Ben R.",Leo Janos,"=""""","=""""",0,4.45,"Back Bay Books/Little, Brown & Co. (NY)",Paperback,382,1996,1994,,2022/06/03,to-read,to-read (#130),to-read,,,,0,0
53238858,"What Happened To You?: Conversations on Trauma, Resilience, and Healing",Bruce D. Perry,"Perry, Bruce D.",Oprah Winfrey,"=""1250223180""","=""9781250223180""",0,4.44,Flatiron Books: An Oprah Book,Hardcover,304,2021,2021,,2022/05/29,to-read,to-read (#129),to-read,,,,0,0
43723901,Lifespan: Why We Age―and Why We Don't Have To,David A. Sinclair,"Sinclair, David A.",,"=""1501191977""","=""9781501191978""",0,4.16,Atria Books,Hardcover,432,2019,2019,,2022/05/29,to-read,to-read (#128),to-read,,,,0,0
56627,Stumbling on Happiness,Daniel Todd Gilbert,"Gilbert, Daniel Todd",,"=""1400077427""","=""9781400077427""",0,3.83,Vintage,Paperback,263,2007,2006,,2022/05/29,to-read,to-read (#127),to-read,,,,0,0
384312,The Art of Living: Vipassana Meditation,William Hart,"Hart, William",S.N. Goenka,"=""0060637242""","=""9780060637248""",0,4.37,HarperOne,Paperback,176,2009,1987,,2022/05/26,to-read,to-read (#126),to-read,,,,0,0
35510008,This is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,"Kay, Adam",,"=""""","=""""",0,4.40,Picador,Kindle Edition,285,2017,2017,,2022/05/22,to-read,to-read (#125),to-read,,,,0,0
49088685,"This Is Your Brain on Food: An Indispensable Guide to the Surprising Foods that Fight Depression, Anxiety, PTSD, OCD, ADHD, and More",Uma Naidoo,"Naidoo, Uma",,"=""0316536822""","=""9780316536820""",0,3.81,"Little, Brown Spark",Hardcover,384,2020,,,2022/05/14,to-read,to-read (#124),to-read,,,,0,0
25931454,Transcendence My Spiritual Experiences with Pramukh Swamiji,A.P.J. Abdul Kalam,"Kalam, A.P.J. Abdul",,"=""9351774058""","=""9789351774051""",0,4.37,Harper Collins India,Hardcover,256,2015,2015,,2022/05/05,to-read,to-read (#123),to-read,,,,0,0
32792170,No Room for Small Dreams: The Decisions That Made Israel Great,Shimon Peres,"Peres, Shimon",,"=""006268129X""","=""9780062681294""",0,4.53,HarperAudio,Audio,,2017,,,2022/05/05,to-read,to-read (#122),to-read,,,,0,0
34684622,Leonardo da Vinci,Walter Isaacson,"Isaacson, Walter",,"=""1501139150""","=""9781501139154""",5,4.20,Simon & Schuster,Hardcover,600,2017,2017,,2020/04/19,to-read,to-read (#121),to-read,,,,1,0
8521879,Annihilation of Caste,B.R. Ambedkar,"Ambedkar, B.R.",,"=""8187190442""","=""9788187190448""",0,4.62,Blumoon Books,Paperback,100,2000,1936,,2022/05/03,to-read,to-read (#120),to-read,,,,0,0
24096,Leonardo's Notebooks,Leonardo da Vinci,"Vinci, Leonardo da",H. Anna Suh,"=""1579124577""","=""9781579124571""",0,3.99,Black Dog & Leventhal,Hardcover,352,2005,1519,,2022/04/27,to-read,to-read (#119),to-read,,,,0,0
17836013,The Library: A World History,James W.P. Campbell,"Campbell, James W.P.",Will Pryce,"=""022609281X""","=""9780226092812""",0,4.41,University of Chicago Press,Hardcover,320,2013,2004,,2022/04/27,to-read,to-read (#118),to-read,,,,0,0
12190447,The Way of Zen,Alan W. Watts,"Watts, Alan W.",,"=""""","=""""",0,4.17,Vintage,Kindle Edition,256,2011,1957,,2022/04/26,to-read,to-read (#117),to-read,,,,0,0
18475553,The Habsburgs: The History of a Dynasty,Benjamin Curtis,"Curtis, Benjamin",,"=""1441145494""","=""9781441145499""",0,3.62,Bloomsbury Academic,Kindle Edition,288,2013,2013,,2022/04/26,to-read,to-read (#116),to-read,,,,0,0
186642,The Tale of the Heike,Anonymous,"Anonymous, Anonymous",Helen Craig McCullough,"=""""","=""9780804718035""",0,4.04,Stanford University Press,Paperback,489,1990,1219,,2021/12/30,to-read,to-read (#98),to-read,,,,0,0
1371,The Iliad,Homer,"Homer, Homer","Robert Fagles, Andrew Lang, Alexander Pope, W.H.D. Rouse, Bernard Knox, William Lucas Collins, G. Chapman, Walter Leaf, Ernest Myers, Gilbert Wakefield, Prentiss Cummings, R. Hooper, Richmond Lattimore, G. Cerri","=""0140275363""","=""9780140275360""",0,3.91,Penguin Classics,Library Binding,704,1999,-800,,2022/04/26,to-read,to-read (#113),to-read,,,,0,0
28789711,SPQR: A History of Ancient Rome,Mary Beard,"Beard, Mary",,"=""1631492225""","=""9781631492228""",0,4.05,Liveright,Paperback,606,2016,2015,,2022/04/24,to-read,to-read (#112),to-read,,,,0,0
57347786,Powers and Thrones: A New History of the Middle Ages,Dan Jones,"Jones, Dan",,"=""198488087X""","=""9781984880871""",0,4.41,Viking,Hardcover,636,2021,2021,,2022/04/26,to-read,to-read (#114),to-read,,,,0,0
53054822,The Habsburgs: To Rule the World,Martyn Rady,"Rady, Martyn",,"=""1541644506""","=""9781541644502""",0,3.85,Basic Books,Hardcover,416,2020,2020,,2022/04/26,to-read,to-read (#115),to-read,,,,0,0
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",0,4.23,"Little, Brown and Company",Hardcover,393,2018,2018,,2022/04/23,to-read,to-read (#111),to-read,,,,0,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",0,4.32,Ecco,Paperback,408,2012,2011,,2022/04/23,to-read,to-read (#110),to-read,,,,0,0
24885533,The Paper Menagerie and Other Stories,Ken Liu,"Liu, Ken",,"=""1481442546""","=""9781481442541""",0,4.36,Gallery / Saga Press,Hardcover,450,2016,2016,,2022/04/19,to-read,to-read (#109),to-read,,,,0,0
